distance,G,GCIRCULANTEK2K1,GTOEPLITZD2HD1,GSKEWD2HD1,HGAUSSHD2HD1,HD3HD2HD1
1.000000000000000056e-01,9.287500000000001865e-01,9.275500000000002077e-01,9.287499999999999645e-01,9.245499999999998719e-01,9.319999999999997176e-01,9.260500000000004839e-01
2.000000000000000111e-01,7.968000000000000638e-01,7.897000000000001796e-01,7.911000000000004695e-01,7.943499999999995564e-01,7.932500000000000107e-01,7.966499999999997472e-01
2.999999999999999889e-01,6.691500000000000226e-01,6.709499999999998243e-01,6.702500000000000124e-01,6.662500000000001199e-01,6.730499999999998151e-01,6.750499999999999279e-01
4.000000000000000222e-01,5.575499999999999901e-01,5.630000000000000560e-01,5.506000000000000894e-01,5.573500000000001231e-01,5.605499999999999927e-01,5.571500000000001451e-01
5.000000000000000000e-01,4.586999999999998301e-01,4.620000000000000218e-01,4.543999999999998596e-01,4.591499999999999471e-01,4.612000000000000544e-01,4.617500000000001048e-01
5.999999999999999778e-01,3.706000000000001515e-01,3.718000000000000749e-01,3.743499999999999051e-01,3.660999999999999255e-01,3.765999999999998238e-01,3.711000000000002075e-01
6.999999999999999556e-01,2.943500000000000005e-01,2.881500000000000727e-01,2.942999999999999505e-01,3.024999999999999356e-01,2.938000000000001166e-01,2.913000000000000034e-01
8.000000000000000444e-01,2.232500000000000318e-01,2.231000000000001038e-01,2.268500000000000516e-01,2.197999999999999954e-01,2.242999999999999716e-01,2.249999999999999223e-01
9.000000000000000222e-01,1.688500000000000834e-01,1.643500000000000238e-01,1.611499999999999599e-01,1.665999999999999426e-01,1.647499999999999798e-01,1.721499999999999697e-01
1.000000000000000000e+00,1.198000000000000037e-01,1.147999999999999993e-01,1.197000000000000008e-01,1.162000000000000116e-01,1.136500000000000427e-01,1.187500000000000500e-01
1.100000000000000089e+00,7.980000000000000981e-02,7.870000000000000606e-02,7.619999999999998996e-02,7.650000000000002631e-02,7.644999999999999019e-02,7.864999999999999769e-02
1.199999999999999956e+00,4.675000000000000683e-02,4.829999999999998878e-02,4.864999999999997798e-02,4.850000000000000838e-02,4.750000000000000749e-02,4.634999999999997455e-02
1.300000000000000044e+00,2.959999999999998049e-02,2.444999999999998563e-02,2.779999999999998098e-02,2.659999999999998824e-02,2.644999999999997700e-02,2.669999999999999457e-02
1.414213562373095145e+00,1.364999999999999721e-02,1.289999999999999827e-02,1.209999999999999964e-02,1.304999999999999563e-02,1.164999999999999890e-02,1.179999999999999452e-02
